Extent,Instrument,Max Spectral Range (eV),Min Spectral Range (eV),Observable,Source,Thumbnail,Time End,Time Start
FULLDISK,T1-HALPHA,1.8889641185153043,1.8889641185153043,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010655_i_08r_s.jpg,2025-03-31 06:55:24,2025-03-31 06:55:24
FULLDISK,T1-HALPHA,1.8881873954130688,1.8881873954130688,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010655_i_35r_s.jpg,2025-03-31 06:55:24,2025-03-31 06:55:24
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010718_i_000_m.jpg,2025-03-31 07:18:42,2025-03-31 07:18:36
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010718_i_000_s.jpg,2025-03-31 07:18:36,2025-03-31 07:18:36
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010748_i_000_m.jpg,2025-03-31 07:48:42,2025-03-31 07:48:42
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010748_i_000_s.jpg,2025-03-31 07:48:42,2025-03-31 07:48:42
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010818_i_000_m.jpg,2025-03-31 08:18:42,2025-03-31 08:18:42
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010818_i_000_s.jpg,2025-03-31 08:18:42,2025-03-31 08:18:42
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010848_i_000_m.jpg,2025-03-31 08:48:42,2025-03-31 08:48:42
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010848_i_000_s.jpg,2025-03-31 08:48:42,2025-03-31 08:48:42
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010918_i_000_m.jpg,2025-03-31 09:18:42,2025-03-31 09:18:42
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010918_i_000_s.jpg,2025-03-31 09:18:42,2025-03-31 09:18:42
FULLDISK,T1-HALPHA,1.889338324260306,1.889338324260306,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010925_i_05b_s.jpg,2025-03-31 09:25:30,2025-03-31 09:25:30
FULLDISK,T1-HALPHA,1.8890504605299645,1.8890504605299645,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010925_i_05r_s.jpg,2025-03-31 09:25:30,2025-03-31 09:25:30
FULLDISK,T1-HALPHA,1.8894247004880207,1.8894247004880207,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010925_i_08b_s.jpg,2025-03-31 09:25:30,2025-03-31 09:25:30
FULLDISK,T1-HALPHA,1.8889641185153043,1.8889641185153043,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010925_i_08r_s.jpg,2025-03-31 09:25:30,2025-03-31 09:25:30
FULLDISK,T1-HALPHA,1.8881873954130688,1.8881873954130688,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010925_i_35r_s.jpg,2025-03-31 09:25:30,2025-03-31 09:25:30
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010948_i_000_m.jpg,2025-03-31 09:48:42,2025-03-31 09:48:42
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T010948_i_000_s.jpg,2025-03-31 09:48:42,2025-03-31 09:48:42
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T011018_i_000_m.jpg,2025-03-31 10:18:30,2025-03-31 10:18:30
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T011018_i_000_s.jpg,2025-03-31 10:18:30,2025-03-31 10:18:30
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T011048_i_000_m.jpg,2025-03-31 10:48:36,2025-03-31 10:48:30
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T011048_i_000_s.jpg,2025-03-31 10:48:30,2025-03-31 10:48:30
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T011118_i_000_m.jpg,2025-03-31 11:18:36,2025-03-31 11:18:36
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T011118_i_000_s.jpg,2025-03-31 11:18:36,2025-03-31 11:18:36
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T011148_i_000_m.jpg,2025-03-31 11:48:36,2025-03-31 11:48:36
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T011148_i_000_s.jpg,2025-03-31 11:48:36,2025-03-31 11:48:36
FULLDISK,T1-HALPHA,1.889338324260306,1.889338324260306,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T011155_i_05b_s.jpg,2025-03-31 11:55:24,2025-03-31 11:55:24
FULLDISK,T1-HALPHA,1.8890504605299645,1.8890504605299645,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T011155_i_05r_s.jpg,2025-03-31 11:55:24,2025-03-31 11:55:24
FULLDISK,T1-HALPHA,1.8894247004880207,1.8894247004880207,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T011155_i_08b_s.jpg,2025-03-31 11:55:24,2025-03-31 11:55:24
FULLDISK,T1-HALPHA,1.8889641185153043,1.8889641185153043,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T011155_i_08r_s.jpg,2025-03-31 11:55:24,2025-03-31 11:55:24
FULLDISK,T1-HALPHA,1.8881873954130688,1.8881873954130688,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T011155_i_35r_s.jpg,2025-03-31 11:55:24,2025-03-31 11:55:24
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T011218_i_000_m.jpg,2025-03-31 12:18:36,2025-03-31 12:18:36
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T011218_i_000_s.jpg,2025-03-31 12:18:36,2025-03-31 12:18:36
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T011248_i_000_m.jpg,2025-03-31 12:48:36,2025-03-31 12:48:36
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T011248_i_000_s.jpg,2025-03-31 12:48:36,2025-03-31 12:48:36
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T011318_i_000_m.jpg,2025-03-31 13:18:42,2025-03-31 13:18:42
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T011318_i_000_s.jpg,2025-03-31 13:18:42,2025-03-31 13:18:42
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T011348_i_000_m.jpg,2025-03-31 13:48:42,2025-03-31 13:48:42
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T011348_i_000_s.jpg,2025-03-31 13:48:42,2025-03-31 13:48:42
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T011418_i_000_m.jpg,2025-03-31 14:18:42,2025-03-31 14:18:42
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T011418_i_000_s.jpg,2025-03-31 14:18:42,2025-03-31 14:18:42
FULLDISK,T1-HALPHA,1.889338324260306,1.889338324260306,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T011425_i_05b_s.jpg,2025-03-31 14:25:30,2025-03-31 14:25:30
FULLDISK,T1-HALPHA,1.8890504605299645,1.8890504605299645,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T011425_i_05r_s.jpg,2025-03-31 14:25:30,2025-03-31 14:25:30
FULLDISK,T1-HALPHA,1.8894247004880207,1.8894247004880207,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T011425_i_08b_s.jpg,2025-03-31 14:25:30,2025-03-31 14:25:30
FULLDISK,T1-HALPHA,1.8889641185153043,1.8889641185153043,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T011425_i_08r_s.jpg,2025-03-31 14:25:30,2025-03-31 14:25:30
FULLDISK,T1-HALPHA,1.8881873954130688,1.8881873954130688,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T011425_i_35r_s.jpg,2025-03-31 14:25:30,2025-03-31 14:25:30
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T011448_i_000_m.jpg,2025-03-31 14:48:42,2025-03-31 14:48:42
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T011448_i_000_s.jpg,2025-03-31 14:48:42,2025-03-31 14:48:42
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T011518_i_000_m.jpg,2025-03-31 15:18:42,2025-03-31 15:18:42
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T011518_i_000_s.jpg,2025-03-31 15:18:42,2025-03-31 15:18:42
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T011548_i_000_m.jpg,2025-03-31 15:48:42,2025-03-31 15:48:42
FULLDISK,T1-HALPHA,1.8891943814294123,1.8891943814294123,Intensity,SFT, https://solarwww.mtk.nao.ac.jp/mitaka_solar/ha-mtkft1/image/2015/20150317/mtk_ft_ha_fd_20150317T011548_i_000_s.jpg,2025-03-31 15:48:42,2025-03-31 15:48:42
